step,t,rel_energy_diff,max_rel_coord_diff
3380,59.183563880253403,2.85395e-29,4.1415e-23
3400,59.2090021294446435,2.85361e-29,5.27923e-23
3420,59.2130607231058365,2.85432e-29,6.07688e-23
3440,59.2187389703767651,2.85385e-29,4.45687e-23
3460,59.2547593567803686,2.8541e-29,4.84907e-23
3480,59.4137745386721325,2.85419e-29,9.93783e-23
3500,59.4657546050979045,2.85417e-29,1.01806e-22
3520,59.7422507552481843,2.85414e-29,1.5077e-22
3540,59.7727733236208502,2.85418e-29,3.36616e-22
3560,59.7756863524407482,2.87292e-29,6.89638e-22
3580,59.7762299548614474,2.85573e-29,8.66281e-22
3600,59.7772658705685089,2.85465e-29,5.49615e-22
3620,59.784332714343426,2.85534e-29,2.64118e-22
3640,59.8466990712828186,2.85529e-29,9.2215e-23
3660,60.4827053956105153,2.85527e-29,2.23719e-22
3680,60.6195474960533452,2.85545e-29,7.11395e-22
3700,60.6299433544580693,2.84672e-29,1.39619e-21
3720,60.631070490367284,2.73324e-29,3.46514e-21
3740,60.6314787187173592,2.82111e-29,2.47474e-21
3760,60.6330275303865067,2.87041e-29,1.4771e-21
3780,60.6448733217936785,2.87321e-29,6.75422e-22
3800,60.7583657551092538,2.87347e-29,1.98555e-22
3820,61.4151784627995745,2.87341e-29,5.65766e-22
3840,61.4837633951218882,2.87268e-29,1.46094e-21
3860,61.4896013571023253,2.88398e-29,2.62554e-21
3880,61.4903175230020756,2.75361e-29,6.74064e-21
3900,61.4907798354073185,2.81459e-29,3.94516e-21
3920,61.4931414298716011,2.84641e-29,2.12958e-21
3940,61.5121377403983235,2.84544e-29,9.30971e-22
3960,61.7140974883926136,2.84545e-29,2.85677e-22
3980,62.3073745668742126,2.84548e-29,1.03801e-21
4000,62.3460940747769507,2.84826e-29,2.4151e-21
4020,62.3496229322680651,2.89937e-29,4.4253e-21
4040,62.3501382718831006,2.72975e-29,8.96998e-21
4060,62.3507288397592477,2.77556e-29,5.0288e-21
4080,62.3543301552318757,2.86023e-29,2.55738e-21
4100,62.3844960741229605,2.85882e-29,1.05792e-21
4120,62.7681281003958607,2.85886e-29,4.26886e-22
4140,63.1846699424451715,2.85874e-29,1.65657e-21
4160,63.2075157496655521,2.86155e-29,3.58733e-21
4180,63.2097234948411184,2.67328e-29,7.42732e-21
4200,63.210140109363161,2.25117e-29,9.24185e-21
4220,63.2109463523952197,2.84664e-29,5.75552e-21
4240,63.2164505659324707,2.85446e-29,2.80245e-21
4260,63.2644544314413728,2.85368e-29,1.07284e-21
4280,63.8556089455965492,2.85366e-29,6.27019e-22
4300,64.0546182473474353,2.85363e-29,2.44296e-21
4320,64.0684232807593924,2.86784e-29,4.97383e-21
4340,64.0698447817001067,3.0982e-29,1.15371e-20
4360,64.0702279379523921,2.81321e-29,9.40507e-21
4380,64.0713746587170451,2.84655e-29,6.17899e-21
4400,64.0798147090210135,2.83046e-29,2.89894e-21
4420,64.1570079016394778,2.83098e-29,9.82256e-22
4440,64.814038891882629,2.83099e-29,1.18765e-21
4460,64.9205493136464207,2.83168e-29,3.42168e-21
4480,64.9290263269512524,2.78304e-29,6.53317e-21
4500,64.9299738013160985,2.6108e-29,1.64895e-20
