sample,step,t,dx_m1,dv_m1,dx_m2,dv_m2,dx_m3,dv_m3,dx_m4,dv_m4,dx_m5,dv_m5,dx_m6,dv_m6,dx_m7,dv_m7
41,820,15.2298921077297909,1.891288e-12,3.176121e-12,3.149170e-12,5.091452e-12,2.448810e-12,4.341268e-12,4.146131e-12,6.738780e-12,3.107405e-12,4.986307e-12,2.963943e-12,5.435657e-12,1.058297e-12,1.294873e-12
42,840,15.7641004077530397,3.988936e-12,1.338069e-11,4.574052e-12,1.623062e-11,5.696534e-12,1.887093e-11,8.211644e-12,2.780024e-11,4.646049e-12,1.646802e-11,7.333566e-12,2.412062e-11,9.071132e-13,1.044041e-12
43,860,15.8237897186192259,9.057783e-12,1.319304e-10,1.079656e-11,1.635122e-10,1.281842e-11,1.851244e-10,1.876830e-11,2.749900e-10,1.097848e-11,1.656594e-10,1.641640e-11,2.359139e-10,8.968373e-13,9.371926e-12
44,880,15.8293388748404208,1.966494e-11,1.350574e-09,2.396041e-11,1.676926e-09,2.769759e-11,1.894301e-09,4.088174e-11,2.815846e-09,2.431393e-11,1.698720e-09,3.537412e-11,2.413381e-09,1.450064e-12,9.796555e-11
45,900,15.8298607216125112,4.025278e-11,1.245494e-08,4.952642e-11,1.546688e-08,5.657305e-11,1.746857e-08,8.380676e-11,2.596813e-08,5.021188e-11,1.566744e-08,7.216134e-11,2.225487e-08,2.646449e-12,9.049824e-10
46,920,15.8299129505596078,7.743567e-11,1.981006e-07,9.587300e-11,2.460141e-07,1.086786e-10,2.778420e-07,1.613660e-10,4.130355e-07,9.712540e-11,2.492061e-07,1.385207e-10,3.539676e-07,5.436332e-12,1.439912e-08
47,940,15.829921091904476,1.417136e-10,5.140166e-07,1.756990e-10,6.383549e-07,1.988299e-10,7.209194e-07,2.953846e-10,1.071719e-06,1.779872e-10,6.466380e-07,2.533722e-10,9.184402e-07,1.010944e-11,3.737231e-08
48,960,15.8299317237887145,7.901295e-11,7.990678e-08,9.858799e-11,9.924065e-08,1.107001e-10,1.120697e-07,1.648604e-10,1.666059e-07,9.982416e-11,1.005283e-07,1.409422e-10,1.427739e-07,6.052553e-12,5.813046e-09
49,980,15.8299977680742615,4.178651e-11,1.089818e-08,5.235741e-11,1.353442e-08,5.848901e-11,1.528496e-08,8.724403e-11,2.272255e-08,5.299368e-11,1.371006e-08,7.442608e-11,1.947266e-08,3.346284e-12,7.925417e-10
50,1000,15.8305212782393674,2.058158e-11,1.387863e-09,2.602187e-11,1.723873e-09,2.874833e-11,1.946612e-09,4.303220e-11,2.893589e-09,2.631626e-11,1.746265e-09,3.653930e-11,2.479275e-09,1.800953e-12,1.018821e-10
